timestamp,ip_address,user,method,endpoint,status_code,response_bytes,requests_per_minute,user_agent,is_anomaly
2025-03-01T03:39:22,10.0.249.36,user_1,DELETE,/api/v1/internal/keys,500,257328,57,nikto/2.5.0,1
2025-03-01T18:31:59,192.168.1.185,user_32,POST,/api/orders,200,2204,7,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T22:21:33,192.168.1.6,user_30,POST,/login,200,2526,3,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T08:28:16,192.168.1.105,user_24,GET,/dashboard,304,1785,13,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T10:22:53,192.168.1.236,user_37,GET,/api/search,200,1787,12,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T14:54:37,192.168.1.25,user_34,POST,/api/products,301,1941,6,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T20:34:48,192.168.1.147,user_3,GET,/api/products,200,3988,9,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T20:49:52,192.168.1.93,user_19,GET,/home,200,3698,3,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T16:07:31,192.168.1.89,user_25,GET,/home,200,2753,4,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T08:55:35,192.168.1.137,user_45,POST,/home,200,2358,6,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T08:59:58,192.168.1.131,user_16,GET,/dashboard,200,3271,5,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T10:33:18,192.168.1.169,user_40,GET,/home,304,3337,1,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T17:23:14,192.168.1.52,user_30,GET,/api/orders,200,783,13,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T19:43:46,192.168.1.196,user_45,GET,/api/orders,200,3509,8,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T08:13:01,192.168.1.197,user_20,GET,/api/products,200,3183,12,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T19:47:56,192.168.1.186,user_32,GET,/api/orders,200,3500,5,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T21:22:46,192.168.1.245,user_17,GET,/home,200,3942,1,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T16:45:46,192.168.1.237,user_12,POST,/api/products,201,411,10,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T14:05:47,192.168.1.180,user_26,GET,/home,201,689,13,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T23:06:58,10.0.163.113,user_1,PATCH,/api/../etc/passwd,500,0,377,curl/7.88.1,1
2025-03-01T19:38:49,192.168.1.250,user_36,GET,/dashboard,200,4185,5,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T11:09:29,192.168.1.105,user_44,GET,/api/users,200,245,10,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T01:55:23,10.0.106.226,user_10,POST,/api/../etc/passwd,404,16,182,python-requests/2.31.0,1
2025-03-01T16:55:16,192.168.1.12,user_24,GET,/login,304,3156,8,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T23:20:29,10.0.170.168,user_9,PUT,/api/../etc/passwd,500,37,193,,1
2025-03-01T14:15:46,192.168.1.218,user_40,POST,/home,301,2233,6,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T07:31:31,192.168.1.21,user_21,POST,/login,301,4677,12,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T10:50:12,192.168.1.152,user_32,GET,/home,201,4671,3,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T09:26:38,192.168.1.86,user_33,GET,/api/products,200,680,4,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T14:03:01,192.168.1.188,user_48,POST,/dashboard,304,1027,2,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T11:16:34,192.168.1.48,user_12,POST,/home,301,1309,11,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T10:24:25,192.168.1.49,user_34,GET,/api/products,200,1386,8,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T16:15:48,192.168.1.54,user_38,GET,/login,201,3850,4,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T14:42:39,192.168.1.1,user_30,GET,/api/search,301,4185,12,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T18:21:33,192.168.1.3,user_15,GET,/dashboard,304,2868,2,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T12:20:42,192.168.1.21,user_5,GET,/login,200,1977,1,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T09:03:28,192.168.1.168,user_28,GET,/api/search,200,4365,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T07:35:52,192.168.1.83,user_38,GET,/api/products,200,4221,6,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0),0
2025-03-01T18:31:35,192.168.1.182,user_8,POST,/api/search,301,739,10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T14:46:45,192.168.1.200,user_25,GET,/api/products,200,2710,12,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),0
2025-03-01T19:27:06,192.168.1.217,user_50,POST,/login,200,3375,8,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T03:43:24,10.0.3.93,user_5,POST,/api/v1/internal/keys,403,43,281,nikto/2.5.0,1
2025-03-01T20:16:18,192.168.1.3,user_32,POST,/api/orders,304,1138,7,Mozilla/5.0 (Windows NT 10.0; Win64; x64),0
2025-03-01T18:24:49,192.168.1.6,user_11,GET,/home,201,3938,4,Mozilla/5.0 (X11; Linux x86_64),0
2025-03-01T13:21:18,192.168.1.171,user_20,GET,/api/users,200,960,2,Mozilla/5.0 (X11; Linux x86_64),0
